"";"ETP em 24 horas (mm)";"ETP em 7 dias (mm)";"ETP em 14 dias (mm)";"ETP em 28 dias (mm)"
"74720000_PORTO_MAUA";1,12957692307692;8,37312307692308;18,1017153846154;35,2310480769231
"74800000_PORTO_LUCENA";1,14177692307692;8,46651538461538;18,3116230769231;35,6300173076923
"75230000_Santo_Angelo";0,961184615384615;6,9358;14,5327615384615;28,9578942307692
"75550000_GARRUCHOS";1,13275384615385;8,38606923076923;18,1057076923077;35,2835403846154
"75780000_PASSO_SAO_BORJA";1,13818461538462;8,4319;18,2184615384615;35,4875442307692
"75900000_ITAQUI";1,13611538461538;8,42268461538461;18,2141615384615;35,4602961538462
"76251000_Dom_Pedrito";0,977976923076923;7,34954615384615;16,1625692307692;31,2642134615385
"76300000_Ponte_Ibicui_da_Armada";0,980392307692308;7,40913076923077;16,3961;31,5919788461538
"76310000_ROSARIO_DO_SUL";NA;NA;NA;NA
"76310000_ROSÁRIO_DO_SUL";0,9932;7,47811538461538;16,4784230769231;31,8190057692308
"76560000_MANOEL_VIANA";1,06140769230769;7,89780769230769;17,1555153846154;33,3287653846154
"76750000_ALEGRETE";1,08255384615385;8,16081538461538;17,9874615384615;34,5918019230769
"76800000_PASSO_MARIANO_PINTO";1,06083076923077;7,91442307692308;17,2434307692308;33,4270019230769
"77150000_URUGUAIANA";1,11943846153846;8,32346153846154;18,0619692307692;35,0871961538462
"77500000_QUARAÍ";1,08942307692308;8,22083846153846;18,1429846153846;34,8780769230769
"86510000_MUÇUM";1,04453846153846;7,74231538461538;16,7361615384615;32,568325
"87170000_BARCA_DO_CAÍ";1,06598461538462;7,94616923076923;17,2888769230769;33,5026788461538
"sem_código_76742000_PassodoOsorio";1,10480769230769;8,31282307692308;18,2753615384615;35,1467692307692
"sem_código_86472000_LinhaJoseJulio";1,0432;7,73645384615385;16,7322384615385;32,5423807692308
"sem_código_86472600_SantaTereza";1,04333846153846;7,73322307692308;16,7157769230769;32,5313788461538
"sem_código_86510000_Muçum";1,04423846153846;7,74041538461538;16,7327923076923;32,5623057692308
"sem_código_86560000_LinhaColombo";1,06010769230769;7,77202307692308;16,5838846153846;32,5406173076923
"sem_código_86720000_Encantado";1,05170769230769;7,78970769230769;16,8240461538462;32,7597865384615
"sem_código_86780000_BarradoFao";1,15286923076923;8,57279230769231;18,6029076923077;36,1268346153846
"sem_código_86879300_Estrela";1,06753846153846;7,91633076923077;17,1214384615385;33,3119153846154
"sem_código_86881000_BomRetirodoSul";1,06713846153846;7,91544615384615;17,1251;33,3132884615385
"sem_código_86895000_PortoMariante";1,06746923076923;7,92065384615385;17,1428153846154;33,3389076923077
"sem_código_86950001_Taquari";1,06646923076923;7,916;17,1401692307692;33,3263903846154
"sem_código_87150000_LinhaGonzaga";1,03187692307692;7,67731538461538;16,6611923076923;32,2945769230769
"sem_código_87160000_NovaPalmira";1,03911538461538;7,73696153846154;16,8091;32,5786076923077
"sem_código_87168000_SaoVendelino";1,08720769230769;8,11427692307692;17,6918384615385;34,3183884615385
"sem_código_87230000_CostaDoRioCadeia";1,15932307692308;8,63679230769231;18,7792307692308;36,4076057692308
"sem_código_87270000_PassoMontenegro";1,09605384615385;8,17163076923077;17,7838769230769;34,4578403846154
"sem_código_87290000_PontedoCaiBR-386";1,09818461538462;8,19033076923077;17,8310076923077;34,5399057692308
"sem_código_AD_Humaitа";2,36458461538462;16,6956307692308;33,8254461538462;67,4427096153846
"sem_código_AD_PARINTIS";2,28824615384615;16,0276230769231;32,1329230769231;64,5211865384615
"sem_código_AD_Pontes_e_Lacerda";2,33153076923077;16,5091153846154;33,5569461538461;66,6705980769231
"sem_código_AD_Presidente_Juscelino_Jusante";1,47557692307692;10,6558769230769;22,2242230769231;43,5463076923077
"sem_código_AD_Rio_Japura";2,05052307692308;14,4446923076923;29,1895692307692;58,3939288461538
"sem_código_AD_Rio_Jurua";2,31575384615385;16,1900769230769;32,3895615384615;65,2072384615385
"sem_código_AD_Rio_Purus";2,46343076923077;17,1153615384615;33,9339153846154;68,5745403846154
"sem_código_AD_UHE-Jirau_Jusante_Ben_Guajara_mirimi";2,1647;15,2869769230769;30,9881307692308;61,8339192307692
"sem_código_ALERTA_Bacia_Araguaia";2,70676923076923;18,9544153846154;37,8863769230769;75,5142403846154
"sem_código_ALERTA_CPRM_ACRE";2,39126153846154;16,7167230769231;33,4115615384615;67,1084173076923
"sem_código_ALERTA_CPRM_AMAZONAS";2,17425384615385;15,2349384615385;30,5657692307692;61,3961769230769
"sem_código_ALERTA_CPRM_BRANCO";2,17946153846154;15,2934;30,7786692307692;61,9546538461538
"sem_código_ALERTA_CPRM_CAÍ";1,09728461538462;8,18469230769231;17,8215615384615;34,5157403846154
"sem_código_ALERTA_CPRM_DOCE";1,63160769230769;11,8451076923077;24,8945692307692;48,7428846153846
"sem_código_ALERTA_CPRM_ITAPECURU";3,12437692307692;21,6394076923077;42,6493384615385;86,0243884615385
"sem_código_ALERTA_CPRM_MADEIRA";2,45360769230769;17,2236230769231;34,6183461538462;69,3116884615385
"sem_código_ALERTA_CPRM_MUNDAÚ";1,689;12,0992307692308;25,0640307692308;49,9030461538462
"sem_código_ALERTA_CPRM_MURIAÉ";1,59373846153846;11,6182615384615;24,5489538461538;47,9572057692308
"sem_código_ALERTA_CPRM_PARAGUAI";2,24659230769231;16,1758769230769;33,6240230769231;66,1022307692308
"sem_código_ALERTA_CPRM_PARNAÍBA";2,81640769230769;19,7159153846154;39,3508692307692;78,2214884615385
"sem_código_ALERTA_CPRM_POMBA";1,53432307692308;11,2150846153846;23,7727;46,3373307692308
"sem_código_ALERTA_CPRM_SAO_FRANCISCO";1,97153076923077;14,1239307692308;29,1003461538462;57,0257615384615
"sem_código_ALERTA_CPRM_TAQUARI";1,06746923076923;7,92524615384615;17,1650923076923;33,3669557692308
"sem_código_ALERTA_CPRM_URUGUAI";1,10936923076923;8,2601;17,9539692307692;34,8468538461538
"sem_código_ALERTA_CPRM_VELHAS";1,65727692307692;11,9911461538462;25,0619769230769;48,9957615384615
"sem_código_ALERTA_CPRM_XÍNGU";3,06548461538462;21,1580692307692;41,4918230769231;83,890175
"sem_código_Alto_Solimoes";1,96880769230769;13,8524846153846;27,9406;55,9023480769231
"sem_código_Bacia_do_rio_Madeira";2,6733;18,4947307692308;36,4217923076923;73,6789730769231
"sem_código_biomaPantanal";2,14545384615385;15,4866615384615;32,3109923076923;63,5021557692308
"sem_código_LIM_Semiarido_OFICIAL_POLIGONAL";2,20707692307692;15,6736615384615;31,9215769230769;62,9350384615385
"sem_código_Medio_baixo_Solimoes";2,37176153846154;16,5114538461538;32,8329076923077;66,2776884615385
"sem_código_portomurtinho_FB";2,29462307692308;16,5981615384615;34,7135615384615;68,0770403846154
"sem_código_REDE_Codigo_20";2,42668461538462;17,2391153846154;35,1222076923077;69,2061980769231
"sem_código_REDE_Codigo_21";2,5898;18,3411384615385;37,1897076923077;73,3051769230769
"sem_código_REDE_Codigo_22";2,66686153846154;18,6611615384615;37,2421076923077;74,1549576923077
"sem_código_REDE_Codigo_23";3,07327692307692;21,1672692307692;41,3327923076923;83,4099980769231
"sem_código_REDE_Codigo_24";2,25554615384615;16,0894615384615;32,9735923076923;64,867075
"sem_código_REDE_Codigo_25";2,48483076923077;17,6697769230769;36,0422538461538;70,9419019230769
"sem_código_REDE_Codigo_26";2,66525384615385;18,7002076923077;37,4903153846154;74,6789326923077
"sem_código_REDE_Codigo_27";3,14183846153846;21,6386307692308;42,2345461538462;85,1393326923077
"sem_código_REDE_Codigo_28";3,25437692307692;22,3336615384615;43,4047153846154;87,9518730769231
"sem_código_REDE_Codigo_29";3,11097692307692;21,3515153846154;41,5463307692308;84,43865
"sem_código_REDE_Codigo_40";1,69673846153846;12,3295;25,9288538461538;50,653475
"sem_código_REDE_Codigo_41";1,70664615384615;12,3307;25,7249230769231;50,342125
"sem_código_REDE_Codigo_42";1,96356923076923;14,1232769230769;29,2735384615385;57,3418769230769
"sem_código_REDE_Codigo_43";2,05913846153846;14,7210076923077;30,2517153846154;59,389675
"sem_código_REDE_Codigo_44";1,91978461538462;13,8932;28,9820153846154;56,2919730769231
"sem_código_REDE_Codigo_45";2,08923846153846;14,9152076923077;30,5782153846154;60,00035
"sem_código_REDE_Codigo_53";1,83280769230769;13,2219307692308;27,5574615384615;54,1405980769231
"sem_código_REDE_Codigo_54";1,76961538461538;12,7831076923077;26,6793461538462;52,3141326923077
"sem_código_REDE_Codigo_55";1,72153076923077;12,4421923076923;26,0059923076923;51,0974134615385
"sem_código_REDE_Codigo_56";1,63067692307692;11,8377153846154;24,8781153846154;48,7201442307692
"sem_código_REDE_Codigo_57";1,60589230769231;11,6400461538462;24,4348846153846;48,0113961538462
"sem_código_REDE_Codigo_58";1,51877692307692;11,0930615384615;23,4997846153846;45,8734673076923
"sem_código_REDE_Codigo_59";1,68412307692308;12,2034692307692;25,6059461538462;50,3097192307692
"sem_código_REDE_Codigo_60";2,11805384615385;15,1964076923077;31,3753076923077;61,4433846153846
"sem_código_REDE_Codigo_61";1,73854615384615;12,6502076923077;26,6538153846154;52,0619057692308
"sem_código_sureg-pa";1,04857692307692;7,80354615384615;16,9553;32,9441096153846
